Name,SCCS,Coder,ID1.1Over,ID1.2Ethno,Int2.1Mar,Int2.2Econ,Int2.3Pol,Int2.4Hist,Dep3.1Sec,Dep3.2Ecol,Dep3.3Econ,NWVal4.1,WVal4.2,NWNorm5.1,WNorm5.2,MythsP6,MythsWar6,RitP6,RitWar6,SymP6,SymWar6,SuperOrd7,CM8.1Neg,CM8.2Med,CM8.3Arb,CM8.4Adj,CM8.5Peace,CM8.6War,Lead9.1P,Lead9.2War,Cult10.1Com,Cult10.2Diff,Comp10.3,InComp10.4,PSys,PSysRec,ID1.1Over_1,ID1.2Ethno_1,Int2.1Mar_1,Int2.2Econ_1,Int2.3Pol_1,Int2.4Hist_1,Dep3.1Sec_1,Dep3.2Ecol_1,Dep3.3Econ_1,NWVal4.1_1,WVal4.2_1,NWNorm5.1_1,WNorm5.2_1,MythsP6_1,MythsWar6_1,RitP6_1,RitWar6_1,SymP6_1,SymWar6_1,SuperOrd7_1,CM8.1Neg_1,CM8.2Med_1,CM8.3Arb_1,CM8.4Adj_1,CM8.5Peace_1,CM8.6War_1,Lead9.1P_1,Lead9.2War_1,COMinter,COMdep,COMnvvn,COMmrs,COMcm,COMwvn,COMwmrs,COMinterM,COMdepM,COMnvvnM,COMmrsM,COMcmM,COMwvnM,COMwmrsM
Vietnamese,73,KA,2,9,9,3,9,3,9,9,3,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,0,2,2.6,2.428571429,3,2.391304348,3,2.5,2.5,3,3.171875,2.763888889,3.083333333,2.451612903,2.523809524,2.21875,2.565217391,2.545454545,2.923076923,2.325,2.625,2.842105263,2.875,2.142857143,2.178571429,3.1,1.5,2.764705882,2.9375,9,9,9,9,9,9,9,2.704968944,2.666666667,3.127604167,2.670701279,2.627706767,2.607750896,2.363068182
Kikuyu,11,KA,2,9,2,2,9,9,9,9,2,2,4,2,4,9,2,2,4,2,3,9,2,9,9,9,9,9,9,9,9,9,9,9,2,0,2,2.6,2,2,2.391304348,2.913043478,2.5,2.5,2,2,4,2,4,2.523809524,2,2,4,2,3,2.625,2,2.875,2.142857143,2.178571429,3.1,1.5,2.764705882,2.9375,9,9,2,9,9,4,3,2.326086957,2.333333333,2,2.174603175,2.459285714,4,3
Omaha,143,DG,9,3,9,9,2,9,1,9,9,2,4,2,4,1,4,2,4,2,4,1,9,9,9,1,1,1,1,4,1,1,9,9,2,0,2.532258065,3,2.428571429,2.984375,2,2.913043478,1,2.5,2.689655172,2,4,2,4,1,4,2,4,2,4,1,2.842105263,2.875,2.142857143,1,1,1,1,4,9,9,2,1.666666667,9,4,4,2.581497477,2.063218391,2,1.666666667,1.971992481,4,4
Natchez,146,BM,9,9,1,1,1,1,1,1,1,1,4,9,4,2,9,3,3,2,4,4,9,9,9,9,9,0,9,4,9,9,9,9,2,0,2.532258065,2.6,1,1,1,1,1,1,1,1,4,3.083333333,4,2,2.21875,3,3,2,4,4,2.842105263,2.875,2.142857143,2.178571429,3.1,0,2.764705882,4,1,1,9,2.333333333,9,4,9,1,1,2.041666667,2.333333333,2.627706767,4,3.072916667
Switzerland,200,DM,3,3,9,9,2,4,4,3,3,4,3,4,3,3,3,4,2,4,2,4,4,4,2,2,2,2,4,9,4,4,9,9,1,1,3,3,2.428571429,2.984375,2,4,4,3,3,4,3,4,3,3,3,4,2,4,2,4,4,4,2,2,2,2,4,2.9375,9,3.333333333,4,3.666666667,2.8,3,2.333333333,2.853236607,3.333333333,4,3.666666667,2.8,3,2.333333333
Iroquois,201,KA,3.5,2.5,3,3.5,4,4,4,2,2,4,3,9,3,4,9,4,9,4,9,4,4,9,9,9,4,9,4,9,4,1,4,9,1,1,3.5,2.5,3,3.5,4,4,4,2,2,4,3,3.083333333,3,4,2.21875,4,2.545454545,4,2.325,4,4,2.875,2.142857143,2.178571429,4,1.5,4,2.9375,3.625,2.666666667,9,4,9,3,9,3.625,2.666666667,3.541666667,4,3.039285714,3,2.363068182
Orang Asli,202,DPF,3,3,2,2,1,3,1,2,2.5,4,1,4,1,1,1,9,9,9,9,1,9,9,9,1,9,9,9,1,3,1,3,1,1,1,3,3,2,2,1,3,1,2,2.5,4,1,4,1,1,1,2.565217391,2.545454545,2.923076923,2.325,1,2.842105263,2.875,2.142857143,1,3.1,1.5,2.764705882,1,2,1.833333333,4,9,9,1,9,2,1.833333333,4,2.162764771,2.391992481,1,1.956818182
Nilgiri Pla.,203,DPF,2,3,1,4,2,4,1,9,4,9,1,4,1,4,1,4,1,9,1,4,9,3,4,9,9,9,9,9,3,1,2,1,1,1,2,3,1,4,2,4,1,2.5,4,3.171875,1,4,1,4,1,4,1,2.923076923,1,4,2.842105263,3,4,2.178571429,3.1,1.5,2.764705882,2.9375,2.75,9,9,9,9,1,1,2.75,2.5,3.5859375,3.641025641,3.024135338,1,1
Wynaad Pla.,204,DPF,3,2,2,4,9,3,1,9,3,4,1,4,1,9,9,3,1,9,9,9,9,9,9,9,9,9,9,9,3,1,9,9,1,1,3,2,2,4,2.391304348,3,1,2.5,3,4,1,4,1,2.523809524,2.21875,3,1,2.923076923,2.325,2.625,2.842105263,2.875,2.142857143,2.178571429,3.1,1.5,2.764705882,2.9375,,9,4,9,9,1,9,2.847826087,2.166666667,4,2.815628816,2.627706767,1,1.847916667
Nordic Nats.,205,DPF,4,1,3,4,4,4,4,2,4,4,1,4,1,3,1.5,3,1,4,1,4,4,4,4,4,4,1,4,2,4,1,4,1,1,1,4,1,3,4,4,4,4,2,4,4,1,4,1,3,1.5,3,1,4,1,4,4,4,4,4,4,1,4,2,3.75,3.333333333,4,3.333333333,4,1,1.166666667,3.75,3.333333333,4,3.333333333,4,1,1.166666667
Up Xingu RB,206,DPF4,4,2,4,4,1,9,3,1,4,4,1,4,1,4,1,3,1,9,9,1,2,9,9,1,9,9,3,9,3,1,9,9,1,1,4,2,4,4,1,2.913043478,3,1,4,4,1,4,1,4,1,3,1,2.923076923,2.325,1,2,2.875,2.142857143,1,3.1,1.5,3,2.9375,9,2.666666667,4,9,9,1,9,2.97826087,2.666666667,4,3.307692308,2.223571429,1,1.441666667
W. Australia,207,KA,4,2,4,2,9,4,9,4,9,4,1,4,1,4,9,4,9,4,9,4,9,9,9,9,4,1,1,1,4,9,4,9,1,1,4,2,4,2,2.391304348,4,2.5,4,2.689655172,4,1,4,1,4,2.21875,4,2.545454545,4,2.325,4,2.842105263,2.875,2.142857143,2.178571429,4,1,1,1,9,9,4,4,9,1,9,3.097826087,3.063218391,4,4,2.807706767,1,2.363068182
Mon-Naskapi,125,KA,2,2,9,4,9,3,4,4,9,4,3,4,2,9,9,9,9,9,9,1,2,2,9,9,9,9,3,2,2,9,9,9,1,1,2,2,2.428571429,4,2.391304348,3,4,4,2.689655172,4,3,4,2,2.523809524,2.21875,2.565217391,2.545454545,2.923076923,2.325,1,2,2,2.142857143,2.178571429,3.1,1.5,3,2,9,9,4,9,9,2.5,9,2.954968944,3.563218391,4,2.670701279,2.284285714,2.5,2.363068182
Italy,208,SS,2,3,9,3,2,2,4,9,2.5,2,3.5,2,4,1,3,1,3,2,3,3,2,9,9,2.5,9,4,2,4,9,2,1,4,1,1,2,3,2.428571429,3,2,2,4,2.5,2.5,2,3.5,2,4,1,3,1,3,2,3,3,2,2.875,2.142857143,2.5,3.1,4,2,4,9,9,2,1.333333333,9,3.75,3,2.357142857,3,2,1.333333333,2.523571429,3.75,3
So Cone,209,EC,3,9,9,4,4,9,4,4,4,3,3,4,2,3,9,3,9,9,9,4,4,2,1,9,4,9,4,9,4,9,3,1,1,1,3,2.6,2.428571429,4,4,2.913043478,4,4,4,3,3,4,2,3,2.21875,3,2.545454545,2.923076923,2.325,4,4,2,1,2.178571429,4,1.5,4,2.9375,9,4,3.5,9,9,2.5,9,3.335403727,4,3.5,2.974358974,2.635714286,2.5,2.363068182
Netherlands,210,KA,4,2,9,4,4,4,4,4,4,4,9,9,9,2,9,9,9,9,9,4,3,9,9,9,9,9,4,9,9,9,9,9,1,1,4,2,2.428571429,4,4,4,4,4,4,4,2.763888889,3.083333333,2.451612903,2,2.21875,2.565217391,2.545454545,2.923076923,2.325,4,3,2.875,2.142857143,2.178571429,3.1,1.5,4,2.9375,9,4,9,9,9,9,9,3.607142857,4,3.541666667,2.496098105,2.659285714,2.607750896,2.363068182
USA,211,DPF,4,2,3,4,4,3,4,3,4,2,4,9,3,2,3,3,3,3,3,4,9,9,9,4,4,9,2,3,4,1,4,1,1,1,4,2,3,4,4,3,4,3,4,2,4,3.083333333,3,2,3,3,3,3,3,4,2.842105263,2.875,2.142857143,4,4,1.5,2,3,3.5,3.666666667,9,2.666666667,9,3.5,3,3.5,3.666666667,2.541666667,2.666666667,3.171992481,3.5,3
Mbuti,13,DPF,9,9,9,3,2,9,1,3,3,4,1,4,1,9,9,9,9,9,1,1,9,9,9,1,9,9,9,9,9,1,9,9,1,1,2.532258065,2.6,2.428571429,3,2,2.913043478,1,3,3,4,1,4,1,2.523809524,2.21875,2.565217391,2.545454545,2.923076923,1,1,2.842105263,2.875,2.142857143,1,3.1,1.5,2.764705882,2.9375,9,2.333333333,4,9,9,1,9,2.585403727,2.333333333,4,2.670701279,2.391992481,1,1.921401515
Juhoansi,2,DPF,2,9,4,3,1,3,1,4,3,4,1,4,1,9,1,3,1,9,1,1,3,9,9,1,9,9,9,9,9,1,9,9,1,1,2,2.6,4,3,1,3,1,4,3,4,1,4,1,2.523809524,1,3,1,2.923076923,1,1,3,2.875,2.142857143,1,3.1,1.5,2.764705882,2.9375,2.75,2.666666667,4,9,9,1,1,2.75,2.666666667,4,2.815628816,2.423571429,1,1
EU,212,DPF,3,2.5,3,4,4,3,3,3,4,4,2,4,2,3,2,3,2,4,2,4,4,9,9,4,4,2,4,2,3,2,3,2,1,1,3,2.5,3,4,4,3,3,3,4,4,2,4,2,3,2,3,2,4,2,4,4,2.875,2.142857143,4,4,2,4,2,3.5,3.333333333,4,3.333333333,9,2,2,3.5,3.333333333,4,3.333333333,3.403571429,2,2
